Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 96.90      3.75     3.75   120000     0.00     0.00  id_to_pair_undirected(unsigned long, unsigned long long)
  0.78      3.78     0.03  1057870     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.52      3.80     0.02   120003     0.00     0.00  std::__detail::_Hash_node_base* std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node_tr<unsigned long long>(unsigned long, unsigned long long const&, unsigned long) const
  0.26      3.81     0.01   577279     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equals_val<int const>::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.26      3.82     0.01   480000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.26      3.83     0.01   168935     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.26      3.84     0.01   137558     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.26      3.85     0.01   120000     0.00     0.00  Graph::add_edge(int, int)
  0.26      3.86     0.01   120000     0.00     0.00  unsigned int std::uniform_int_distribution<unsigned long long>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int)
  0.26      3.87     0.01        1     0.01     0.01  (anonymous namespace)::undirected_connected_ignoring_isolated(Graph const&)
  0.00      3.87     0.00  2115740     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      3.87     0.00  1591711     0.00     0.00  unsigned long long const& std::forward<unsigned long long const&>(std::remove_reference<unsigned long long const&>::type&)
  0.00      3.87     0.00  1013610     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      3.87     0.00   798679     0.00     0.00  std::__is_constant_evaluated()
  0.00      3.87     0.00   748438     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      3.87     0.00   675740     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      3.87     0.00   648935     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      3.87     0.00   648935     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      3.87     0.00   580448     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      3.87     0.00   579558     0.00     0.00  operator new(unsigned long, void*)
  0.00      3.87     0.00   577279     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      3.87     0.00   577279     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      3.87     0.00   487653     0.00     0.00  std::__detail::_Hash_node<unsigned long long, false>::_M_next() const
  0.00      3.87     0.00   480002     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::_M_node_allocator()
  0.00      3.87     0.00   480002     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<unsigned long long, false> >, true>::_M_get()
  0.00      3.87     0.00   408935     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      3.87     0.00   387871     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      3.87     0.00   360000     0.00     0.00  __gnu_cxx::__aligned_buffer<unsigned long long>::_M_ptr()
  0.00      3.87     0.00   360000     0.00     0.00  __gnu_cxx::__aligned_buffer<unsigned long long>::_M_addr()
  0.00      3.87     0.00   338260     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      3.87     0.00   337870     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      3.87     0.00   337870     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      3.87     0.00   337870     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      3.87     0.00   337870     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      3.87     0.00   337870     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      3.87     0.00   337870     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      3.87     0.00   290224     0.00     0.00  bool __gnu_cxx::operator==<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      3.87     0.00   290217     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long)
  0.00      3.87     0.00   289558     0.00     0.00  decltype (::new ((void*)(0)) int((declval<int const&>)())) std::construct_at<int, int const&>(int*, int const&)
  0.00      3.87     0.00   271695     0.00     0.00  unsigned long long const& std::__detail::_Identity::operator()<unsigned long long const&>(unsigned long long const&) const
  0.00      3.87     0.00   243830     0.00     0.00  std::hash<unsigned long long>::operator()(unsigned long long) const
  0.00      3.87     0.00   243830     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      3.87     0.00   243830     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      3.87     0.00   243830     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<unsigned long long>, true>::_M_cget() const
  0.00      3.87     0.00   240008     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::size() const
  0.00      3.87     0.00   240008     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::__small_size_threshold()
  0.00      3.87     0.00   240008     0.00     0.00  std::__detail::_Hashtable_hash_traits<std::hash<unsigned long long> >::__small_size_threshold()
  0.00      3.87     0.00   240003     0.00     0.00  std::__detail::operator==(std::__detail::_Node_iterator_base<unsigned long long, false> const&, std::__detail::_Node_iterator_base<unsigned long long, false> const&)
  0.00      3.87     0.00   240002     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::base() const
  0.00      3.87     0.00   240000     0.00     0.00  (anonymous namespace)::in_range(unsigned long, int)
  0.00      3.87     0.00   240000     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const>::_Iter_equals_val(int const&)
  0.00      3.87     0.00   240000     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const> __gnu_cxx::__ops::__iter_equals_val<int const>(int const&)
  0.00      3.87     0.00   240000     0.00     0.00  bool __gnu_cxx::operator==<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      3.87     0.00   240000     0.00     0.00  std::uniform_int_distribution<unsigned long long>::param_type::a() const
  0.00      3.87     0.00   240000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      3.87     0.00   240000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      3.87     0.00   240000     0.00     0.00  std::__detail::_Node_iterator<unsigned long long, true, false>::operator++()
  0.00      3.87     0.00   240000     0.00     0.00  std::__detail::_Node_iterator_base<unsigned long long, false>::_M_incr()
  0.00      3.87     0.00   240000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      3.87     0.00   240000     0.00     0.00  std::remove_reference<std::pair<int, int>&>::type&& std::move<std::pair<int, int>&>(std::pair<int, int>&)
  0.00      3.87     0.00   240000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find_if<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>)
  0.00      3.87     0.00   240000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find_if<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>, std::random_access_iterator_tag)
  0.00      3.87     0.00   239976     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      3.87     0.00   239976     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      3.87     0.00   218936     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      3.87     0.00   169323     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
  0.00      3.87     0.00   169323     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long, void const*)
  0.00      3.87     0.00   168943     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      3.87     0.00   168935     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      3.87     0.00   168935     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      3.87     0.00   151691     0.00     0.00  __gnu_cxx::__aligned_buffer<unsigned long long>::_M_ptr() const
  0.00      3.87     0.00   151691     0.00     0.00  __gnu_cxx::__aligned_buffer<unsigned long long>::_M_addr() const
  0.00      3.87     0.00   123826     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(std::__detail::_Hash_node_value<unsigned long long, false> const&) const
  0.00      3.87     0.00   123826     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(unsigned long long const&) const
  0.00      3.87     0.00   123826     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<unsigned long long, false> const&, unsigned long) const
  0.00      3.87     0.00   120008     0.00     0.00  std::__detail::_Node_iterator<unsigned long long, true, false>::_Node_iterator(std::__detail::_Hash_node<unsigned long long, false>*)
  0.00      3.87     0.00   120008     0.00     0.00  std::__detail::_Node_iterator_base<unsigned long long, false>::_Node_iterator_base(std::__detail::_Hash_node<unsigned long long, false>*)
  0.00      3.87     0.00   120004     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(unsigned long) const
  0.00      3.87     0.00   120004     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      3.87     0.00   120004     0.00     0.00  unsigned long std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code_tr<unsigned long long>(unsigned long long const&) const
  0.00      3.87     0.00   120004     0.00     0.00  unsigned long long const& std::__detail::_ConvertToValueType<std::__detail::_Identity, unsigned long long>::operator()<unsigned long long const&>(unsigned long long const&) const
  0.00      3.87     0.00   120004     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_S_forward_key(unsigned long long const&)
  0.00      3.87     0.00   120004     0.00     0.00  std::pair<std::__detail::_Node_iterator<unsigned long long, true, false>, bool> std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique<unsigned long long const&, unsigned long long const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > > >(unsigned long long const&, unsigned long long const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > > const&)
  0.00      3.87     0.00   120004     0.00     0.00  std::pair<std::__detail::_Node_iterator<unsigned long long, true, false>, bool> std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_aux<unsigned long long const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > > >(unsigned long long const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > > const&)
  0.00      3.87     0.00   120004     0.00     0.00  std::pair<std::__detail::_Node_iterator<unsigned long long, true, false>, bool> std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert<unsigned long long const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > > >(unsigned long long const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > > const&, std::integral_constant<bool, true>)
  0.00      3.87     0.00   120004     0.00     0.00  std::unordered_set<unsigned long long, std::hash<unsigned long long>, std::equal_to<unsigned long long>, std::allocator<unsigned long long> >::insert(unsigned long long const&)
  0.00      3.87     0.00   120004     0.00     0.00  std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::_AllocNode(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >&)
  0.00      3.87     0.00   120004     0.00     0.00  std::__detail::_Insert_base<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_conjure_hashtable()
  0.00      3.87     0.00   120004     0.00     0.00  std::__detail::_Insert_base<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::insert(unsigned long long const&)
  0.00      3.87     0.00   120004     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      3.87     0.00   120003     0.00     0.00  std::__detail::_Hash_node<unsigned long long, false>* std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_node_tr<unsigned long long>(unsigned long, unsigned long long const&, unsigned long) const
  0.00      3.87     0.00   120001     0.00     0.00  bool __gnu_cxx::operator==<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&)
  0.00      3.87     0.00   120001     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_state() const
  0.00      3.87     0.00   120001     0.00     0.00  std::uniform_int_distribution<unsigned long long>::param_type::param_type(unsigned long long, unsigned long long)
  0.00      3.87     0.00   120001     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      3.87     0.00   120000     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator++()
  0.00      3.87     0.00   120000     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator*() const
  0.00      3.87     0.00   120000     0.00     0.00  std::uniform_int_distribution<unsigned long long>::param_type::b() const
  0.00      3.87     0.00   120000     0.00     0.00  std::__detail::_Hash_node<unsigned long long, false>* std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >::operator()<unsigned long long const&>(unsigned long long const&) const
  0.00      3.87     0.00   120000     0.00     0.00  std::__detail::_Node_iterator<unsigned long long, true, false>::operator*() const
  0.00      3.87     0.00   120000     0.00     0.00  std::__detail::_Hash_code_base<unsigned long long, unsigned long long, std::__detail::_Identity, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node_code_cache<false>&, unsigned long) const
  0.00      3.87     0.00   120000     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_Scoped_node::_Scoped_node(std::__detail::_Hash_node<unsigned long long, false>*, std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<unsigned long long, false> > >*)
  0.00      3.87     0.00   120000     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_Scoped_node::~_Scoped_node()
  0.00      3.87     0.00   120000     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<unsigned long long, false>*, unsigned long)
  0.00      3.87     0.00   120000     0.00     0.00  std::_Hashtable<unsigned long long, unsigned long long, std::allocator<unsigned long long>, std::__detail::_Identity, std::equal_to<unsigned long long>, std::hash<unsigned long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<unsigned long long, false>*)
  0.00      3.87     0.00   120000     0.00     0.00  int&& std::__pair_get<0ul>::__move_get<int, int>(std::pair<int, int>&&)
  0.00      3.87     0.00   120000     0.00     0.00  int&& std::__pair_get<1ul>::__move_get<int, int>(std::pair<int, int>&&)
  0.00      3.87     0.00   120000     0.00     0.00  std::__new_allocator<std::__detail::_Hash_node<unsigned long long, false> >::deallocate(std::__detail::_Hash_node<unsigned long long, false>*, unsigned long)
  0.00      3.87     0.00   120000     0.00     0.00  std::__new_allocator<std::__detail::_Hash_node<unsigned long long, false> >::allocate(unsigned long, void const*)
  0.00      3.87     0.00   120000     0.00     0.00  std::__ptr_traits_ptr_to<std::__detail::_Hash_node<unsigned long long, false>*, std::__detail::_Hash_node<unsigned long long, false>, false>::pointer_to(std::__detail::_Hash_node<unsigned long long, false>&)
  0.00      3.87     0.00   120000     0.00     0.00  unsigned long long std::uniform_int_distribution<unsigned long long>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<unsigned long long>::param_type const&)
